,departure_date,departure_airport,id,window_seat,group_size,name,country,lat,lon
69,20/04/2019,OPO,STN,0,2,Stansted,United Kingdom,"51,882801","0,233900"
70,16/07/2019,OPO,STN,0,2,Stansted,United Kingdom,"51,882801","0,233900"
71,01/08/2019,OPO,WAW,0,3,Okecie,Poland,"52,166698","20,966700"
72,13/08/2019,MAD,CUN,0,5,Cancun International,Mexico,"21,033300","-86,866699"
73,09/08/2021,OPO,PDL,0,8,Nordela,Portugal,"37,747200","-25,681900"
74,16/08/2021,ACL,PDL,0,8,Nordela,Portugal,"37,747200","-25,681900"
75,13/08/2021,PDL,ACL,1,8,Aguaclara,Colombia,"4,750000","-73,000000"
76,19/11/2022,OPO,MUC,0,1,Franz Josef Strauss International,Germany,"48,349998","11,783300"
77,20/11/2022,MUC,SFO,0,1,San Francisco Intl,United States,"37,619400","-122,372803"
78,25/11/2022,SFO,ZRH,0,1,Zurich,Switzerland,"47,458302","8,551700"
79,22/07/2023,MAD,EZE,0,2,Ministro Pistarini,Argentina,"-34,820000","-58,533901"
80,10/09/2023,JUJ,EZE,1,5,Ministro Pistarini,Argentina,"-34,820000","-58,533901"
81,05/09/2023,EZE,SLA,1,4,Martin M. de Guemes,Argentina,"-24,855000","-65,472198"
