,departure_date,departure_airport_code,arrival_airport_code,window_seat,group_size,arrival_airport_name,arrival_country,arrival_lat,arrival_lon,departure_airport_name,departure_country,departure_lat,departure_lon
44,2019-07-16,OPO,STN,0,2,Stansted,United Kingdom,"51,882801","0,2339",Porto,Portugal,"41,238098","-8,6747"
45,2019-08-01,OPO,WAW,0,3,Okecie,Poland,"52,166698","20,9667",Porto,Portugal,"41,238098","-8,6747"
46,2021-08-09,OPO,PDL,0,8,Nordela,Portugal,"37,7472","-25,6819",Porto,Portugal,"41,238098","-8,6747"
47,2022-11-19,OPO,MUC,0,1,Franz Josef Strauss International,Germany,"48,349998","11,7833",Porto,Portugal,"41,238098","-8,6747"
48,2009-08-06,BVC,OPO,0,9,Porto,Portugal,"41,238098","-8,6747",Rabil Airport,Cape Verde,"16,0833","-22,8333"
49,2011-04-16,CDG,OPO,1,7,Porto,Portugal,"41,238098","-8,6747",Charles De Gaulle,France,"49,009701","2,5486"
50,2016-04-19,CDG,OPO,1,2,Porto,Portugal,"41,238098","-8,6747",Charles De Gaulle,France,"49,009701","2,5486"
51,2016-06-14,CDG,OPO,0,3,Porto,Portugal,"41,238098","-8,6747",Charles De Gaulle,France,"49,009701","2,5486"
52,2013-01-25,LCY,OPO,0,5,Porto,Portugal,"41,238098","-8,6747",City Airport,United Kingdom,"51,516701","-0,0667"
53,2017-07-21,LCY,OPO,0,1,Porto,Portugal,"41,238098","-8,6747",City Airport,United Kingdom,"51,516701","-0,0667"
54,2017-07-17,LCY,ARN,1,2,Arlanda,Sweden,"59,6619","17,933901",City Airport,United Kingdom,"51,516701","-0,0667"
55,2013-07-22,VCE,OPO,1,3,Porto,Portugal,"41,238098","-8,6747",Marco Polo,Italy,"45,5","12,35"
56,2014-11-17,MRS,OPO,1,2,Porto,Portugal,"41,238098","-8,6747",Marignane,France,"43,4356","5,2164"
57,2014-08-10,DBV,OPO,0,2,Porto,Portugal,"41,238098","-8,6747",Dubrovnik,Croatia,"42,563301","18,265301"
58,2015-04-06,AMS,OPO,1,4,Porto,Portugal,"41,238098","-8,6747",Schiphol,Netherlands,"52,3083","4,7681"
59,2015-07-26,BFS,OPO,0,4,Porto,Portugal,"41,238098","-8,6747",Belfast Intl,United Kingdom,"54,654202","-6,225"
60,2016-07-26,ATH,OPO,0,5,Porto,Portugal,"41,238098","-8,6747",Eleftherios Venizelos Airport,Greece,"37,936401","23,944401"
61,2018-08-06,ACE,OPO,1,3,Porto,Portugal,"41,238098","-8,6747",Lanzarote,Spain,"28,942499","-13,6047"
62,2018-08-20,BRU,OPO,0,2,Porto,Portugal,"41,238098","-8,6747",Brussels Airport,Belgium,"50,901402","4,4844"
63,2023-03-14,BRU,OPO,0,15,Porto,Portugal,"41,238098","-8,6747",Brussels Airport,Belgium,"50,901402","4,4844"
64,2019-04-25,STN,OPO,0,2,Porto,Portugal,"41,238098","-8,6747",Stansted,United Kingdom,"51,882801","0,2339"
65,2019-07-21,STN,OPO,0,2,Porto,Portugal,"41,238098","-8,6747",Stansted,United Kingdom,"51,882801","0,2339"
66,2019-08-07,BER,OPO,1,3,Porto,Portugal,"41,238098","-8,6747",Brandenburg,Germany,"52,366699","13,5033"
67,2021-08-16,PDL,OPO,0,8,Porto,Portugal,"41,238098","-8,6747",Nordela,Portugal,"37,7472","-25,6819"
68,2021-08-13,PDL,ACL,1,8,Aguaclara,Colombia,"4,75",-73,Nordela,Portugal,"37,7472","-25,6819"
69,2022-11-25,ZRH,OPO,0,1,Porto,Portugal,"41,238098","-8,6747",Zurich,Switzerland,"47,458302","8,5517"
70,2017-07-20,ARN,LCY,0,2,City Airport,United Kingdom,"51,516701","-0,0667",Arlanda,Sweden,"59,6619","17,933901"
71,2013-08-13,IST,AYT,0,3,Antalya,Turkey,"36,905602","30,7906",Istanbul Airport,Turkey,"40,9767","28,8153"
72,2014-08-07,MFM,DXB,0,3,Dubai International,United Arab Emirates,"25,25","55,3578",Macau International,Macau (SAR),"22,233299","113,583298"
73,2014-07-31,KUL,SIN,0,3,Changi,Singapore,"1,3578","103,990799",Kuala Lumpur International Airport,Malaysia,"2,7456","101,7099"
74,2014-08-02,SIN,HKG,0,3,Hong Kong Intl,Hong Kong (SAR),"22,3036","113,920502",Changi,Singapore,"1,3578","103,990799"
75,2015-08-11,HAV,MAD,0,3,Adolfo Suarez-Barajas,Spain,"40,473598","-3,5611",Jose Marti Intl,Cuba,"22,989401","-82,407501"
76,2019-08-22,CUN,MAD,0,5,Adolfo Suarez-Barajas,Spain,"40,473598","-3,5611",Cancun International,Mexico,"21,0333","-86,866699"
77,2021-08-16,ACL,PDL,0,8,Nordela,Portugal,"37,7472","-25,6819",Aguaclara,Colombia,"4,75",-73
78,2022-11-20,MUC,SFO,0,1,San Francisco Intl,United States,"37,6194","-122,372803",Franz Josef Strauss International,Germany,"48,349998","11,7833"
79,2022-11-25,SFO,ZRH,0,1,Zurich,Switzerland,"47,458302","8,5517",San Francisco Intl,United States,"37,6194","-122,372803"
80,2023-09-10,JUJ,EZE,1,5,Ministro Pistarini,Argentina,"-34,82","-58,533901",Gobernador H. Guzman,Argentina,"-24,385","-65,097397"
81,2023-09-05,EZE,SLA,1,4,Martin M. de Guemes,Argentina,"-24,855","-65,472198",Ministro Pistarini,Argentina,"-34,82","-58,533901"
