,departure_date,departure_airport_code,arrival_airport_code,window_seat,group_size,arrival_airport_name,arrival_country,arrival_lat,arrival_lon,departure_airport_name,departure_country,departure_lat,departure_lon
51,2016-06-14,CDG,OPO,0,3,Porto,Portugal,41238098,-86747,Charles De Gaulle,France,49009701,25486
52,2013-01-25,LCY,OPO,0,5,Porto,Portugal,41238098,-86747,City Airport,United Kingdom,51516701,-667
53,2017-07-21,LCY,OPO,0,1,Porto,Portugal,41238098,-86747,City Airport,United Kingdom,51516701,-667
54,2017-07-17,LCY,ARN,1,2,Arlanda,Sweden,596619,17933901,City Airport,United Kingdom,51516701,-667
55,2013-07-22,VCE,OPO,1,3,Porto,Portugal,41238098,-86747,Marco Polo,Italy,455,1235
56,2014-11-17,MRS,OPO,1,2,Porto,Portugal,41238098,-86747,Marignane,France,434356,52164
57,2014-08-10,DBV,OPO,0,2,Porto,Portugal,41238098,-86747,Dubrovnik,Croatia,42563301,18265301
58,2015-04-06,AMS,OPO,1,4,Porto,Portugal,41238098,-86747,Schiphol,Netherlands,523083,47681
59,2015-07-26,BFS,OPO,0,4,Porto,Portugal,41238098,-86747,Belfast Intl,United Kingdom,54654202,-6225
60,2016-07-26,ATH,OPO,0,5,Porto,Portugal,41238098,-86747,Eleftherios Venizelos Airport,Greece,37936401,23944401
61,2018-08-06,ACE,OPO,1,3,Porto,Portugal,41238098,-86747,Lanzarote,Spain,28942499,-136047
62,2018-08-20,BRU,OPO,0,2,Porto,Portugal,41238098,-86747,Brussels Airport,Belgium,50901402,44844
63,2023-03-14,BRU,OPO,0,15,Porto,Portugal,41238098,-86747,Brussels Airport,Belgium,50901402,44844
64,2019-04-25,STN,OPO,0,2,Porto,Portugal,41238098,-86747,Stansted,United Kingdom,51882801,2339
65,2019-07-21,STN,OPO,0,2,Porto,Portugal,41238098,-86747,Stansted,United Kingdom,51882801,2339
66,2019-08-07,BER,OPO,1,3,Porto,Portugal,41238098,-86747,Brandenburg,Germany,52366699,135033
67,2021-08-16,PDL,OPO,0,8,Porto,Portugal,41238098,-86747,Nordela,Portugal,377472,-256819
68,2021-08-13,PDL,ACL,1,8,Aguaclara,Colombia,475,-73,Nordela,Portugal,377472,-256819
69,2022-11-25,ZRH,OPO,0,1,Porto,Portugal,41238098,-86747,Zurich,Switzerland,47458302,85517
70,2017-07-20,ARN,LCY,0,2,City Airport,United Kingdom,51516701,-667,Arlanda,Sweden,596619,17933901
71,2013-08-13,IST,AYT,0,3,Antalya,Turkey,36905602,307906,Istanbul Airport,Turkey,409767,288153
72,2014-08-07,MFM,DXB,0,3,Dubai International,United Arab Emirates,2525,553578,Macau International,Macau (SAR),22233299,113583298
73,2014-07-31,KUL,SIN,0,3,Changi,Singapore,13578,103990799,Kuala Lumpur International Airport,Malaysia,27456,1017099
74,2014-08-02,SIN,HKG,0,3,Hong Kong Intl,Hong Kong (SAR),223036,113920502,Changi,Singapore,13578,103990799
75,2015-08-11,HAV,MAD,0,3,Adolfo Suarez-Barajas,Spain,40473598,-35611,Jose Marti Intl,Cuba,22989401,-82407501
76,2019-08-22,CUN,MAD,0,5,Adolfo Suarez-Barajas,Spain,40473598,-35611,Cancun International,Mexico,210333,-86866699
77,2021-08-16,ACL,PDL,0,8,Nordela,Portugal,377472,-256819,Aguaclara,Colombia,475,-73
78,2022-11-20,MUC,SFO,0,1,San Francisco Intl,United States,376194,-122372803,Franz Josef Strauss International,Germany,48349998,117833
79,2022-11-25,SFO,ZRH,0,1,Zurich,Switzerland,47458302,85517,San Francisco Intl,United States,376194,-122372803
80,2023-09-10,JUJ,EZE,1,5,Ministro Pistarini,Argentina,-3482,-58533901,Gobernador H. Guzman,Argentina,-24385,-65097397
81,2023-09-05,EZE,SLA,1,4,Martin M. de Guemes,Argentina,-24855,-65472198,Ministro Pistarini,Argentina,-3482,-58533901
