departure_date,departure_id,arrival_id,window_seat,group_size,arrival_name,arrival_country,arrival_lat,arrival_lon,departure_name,departure_country,departure_lat,departure_lon
20/04/2019,OPO,STN,0,2,Stansted,United Kingdom,"51,882,801","0,2339",Porto,Portugal,"41,238,098","-8,674,700"
16/07/2019,OPO,STN,0,2,Stansted,United Kingdom,"51,882,801","0,2339",Porto,Portugal,"41,238,098","-8,674,700"
01/08/2019,OPO,WAW,0,3,Okecie,Poland,"52,166,698","20,966,700",Porto,Portugal,"41,238,098","-8,674,700"
09/08/2021,OPO,PDL,0,8,Nordela,Portugal,"37,747,200","-25,681,900",Porto,Portugal,"41,238,098","-8,674,700"
19/11/2022,OPO,MUC,0,1,Franz Josef Strauss International,Germany,"48,349,998","11,783,300",Porto,Portugal,"41,238,098","-8,674,700"
06/08/2009,BVC,OPO,0,9,Porto,Portugal,"41,238,098","-8,674,700",Rabil Airport,Cape Verde,"16,083,300","-22,833,300"
16/04/2011,CDG,OPO,1,7,Porto,Portugal,"41,238,098","-8,674,700",Charles De Gaulle,France,"49,009,701","2,548,600"
19/04/2016,CDG,OPO,1,2,Porto,Portugal,"41,238,098","-8,674,700",Charles De Gaulle,France,"49,009,701","2,548,600"
14/06/2016,CDG,OPO,0,3,Porto,Portugal,"41,238,098","-8,674,700",Charles De Gaulle,France,"49,009,701","2,548,600"
25/01/2013,LCY,OPO,0,5,Porto,Portugal,"41,238,098","-8,674,700",City Airport,United Kingdom,"51,516,701","-0,0667"
21/07/2017,LCY,OPO,0,1,Porto,Portugal,"41,238,098","-8,674,700",City Airport,United Kingdom,"51,516,701","-0,0667"
17/07/2017,LCY,ARN,1,2,Arlanda,Sweden,"59,661,900","17,933,901",City Airport,United Kingdom,"51,516,701","-0,0667"
22/07/2013,VCE,OPO,1,3,Porto,Portugal,"41,238,098","-8,674,700",Marco Polo,Italy,"45,500,000","12,350,000"
17/11/2014,MRS,OPO,1,2,Porto,Portugal,"41,238,098","-8,674,700",Marignane,France,"43,435,600","5,216,400"
10/08/2014,DBV,OPO,0,2,Porto,Portugal,"41,238,098","-8,674,700",Dubrovnik,Croatia,"42,563,301","18,265,301"
06/04/2015,AMS,OPO,1,4,Porto,Portugal,"41,238,098","-8,674,700",Schiphol,Netherlands,"52,308,300","4,768,100"
26/07/2015,BFS,OPO,0,4,Porto,Portugal,"41,238,098","-8,674,700",Belfast Intl,United Kingdom,"54,654,202","-6,225,000"
26/07/2016,ATH,OPO,0,5,Porto,Portugal,"41,238,098","-8,674,700",Eleftherios Venizelos Airport,Greece,"37,936,401","23,944,401"
06/08/2018,ACE,OPO,1,3,Porto,Portugal,"41,238,098","-8,674,700",Lanzarote,Spain,"28,942,499","-13,604,700"
20/08/2018,BRU,OPO,0,2,Porto,Portugal,"41,238,098","-8,674,700",Brussels Airport,Belgium,"50,901,402","4,484,400"
14/03/2023,BRU,OPO,0,15,Porto,Portugal,"41,238,098","-8,674,700",Brussels Airport,Belgium,"50,901,402","4,484,400"
25/04/2019,STN,OPO,0,2,Porto,Portugal,"41,238,098","-8,674,700",Stansted,United Kingdom,"51,882,801","0,2339"
21/07/2019,STN,OPO,0,2,Porto,Portugal,"41,238,098","-8,674,700",Stansted,United Kingdom,"51,882,801","0,2339"
07/08/2019,BER,OPO,1,3,Porto,Portugal,"41,238,098","-8,674,700",Brandenburg,Germany,"52,366,699","13,503,300"
16/08/2021,PDL,OPO,0,8,Porto,Portugal,"41,238,098","-8,674,700",Nordela,Portugal,"37,747,200","-25,681,900"
13/08/2021,PDL,ACL,1,8,Aguaclara,Colombia,"4,750,000","-73,000,000",Nordela,Portugal,"37,747,200","-25,681,900"
25/11/2022,ZRH,OPO,0,1,Porto,Portugal,"41,238,098","-8,674,700",Zurich,Switzerland,"47,458,302","8,551,700"
20/07/2017,ARN,LCY,0,2,City Airport,United Kingdom,"51,516,701","-0,0667",Arlanda,Sweden,"59,661,900","17,933,901"
13/08/2013,IST,AYT,0,3,Antalya,Turkey,"36,905,602","30,790,600",Istanbul Airport,Turkey,"40,976,700","28,815,300"
07/08/2014,MFM,DXB,0,3,Dubai International,United Arab Emirates,"25,250,000","55,357,800",Macau International,Macau (SAR),"22,233,299","113,583,298"
31/07/2014,KUL,SIN,0,3,Changi,Singapore,"1,357,800","103,990,799",Kuala Lumpur International Airport,Malaysia,"2,745,600","101,709,900"
02/08/2014,SIN,HKG,0,3,Hong Kong Intl,Hong Kong (SAR),"22,303,600","113,920,502",Changi,Singapore,"1,357,800","103,990,799"
11/08/2015,HAV,MAD,0,3,Adolfo Suarez-Barajas,Spain,"40,473,598","-3,561,100",Jose Marti Intl,Cuba,"22,989,401","-82,407,501"
22/08/2019,CUN,MAD,0,5,Adolfo Suarez-Barajas,Spain,"40,473,598","-3,561,100",Cancun International,Mexico,"21,033,300","-86,866,699"
16/08/2021,ACL,PDL,0,8,Nordela,Portugal,"37,747,200","-25,681,900",Aguaclara,Colombia,"4,750,000","-73,000,000"
20/11/2022,MUC,SFO,0,1,San Francisco Intl,United States,"37,619,400","-122,372,803",Franz Josef Strauss International,Germany,"48,349,998","11,783,300"
25/11/2022,SFO,ZRH,0,1,Zurich,Switzerland,"47,458,302","8,551,700",San Francisco Intl,United States,"37,619,400","-122,372,803"
10/09/2023,JUJ,EZE,1,5,Ministro Pistarini,Argentina,"-34,820,000","-58,533,901",Gobernador H. Guzman,Argentina,"-24,385,000","-65,097,397"
05/09/2023,EZE,SLA,1,4,Martin M. de Guemes,Argentina,"-24,855,000","-65,472,198",Ministro Pistarini,Argentina,"-34,820,000","-58,533,901"
