,departure_date,departure_airport_code,arrival_airport_code,window_seat,group_size,arrival_airport_name,arrival_country,arrival_lat,arrival_lon,departure_airport_name,departure_country,departure_lat,departure_lon
0,2002-08-02,LIS,HER,0,4,Nikos Kazantzakis Airport,Greece,35.339.699,251.803,Lisboa,Portugal,38.781.899,-91.333
1,2004-08-05,LIS,REC,0,4,Guararapes International,Brazil,-81.258,-34.923.901,Lisboa,Portugal,38.781.899,-91.333
2,2005-08-10,LIS,PUJ,0,9,Punta Cana International,Dominican Republic,185.667,-68.383.301,Lisboa,Portugal,38.781.899,-91.333
3,2006-07-29,LIS,GRU,0,4,Guarulhos Intl,Brazil,-23.434.999,-46.472.801,Lisboa,Portugal,38.781.899,-91.333
4,2008-08-03,LIS,TUN,0,9,Carthage,Tunisia,36.852.501,10.2294,Lisboa,Portugal,38.781.899,-91.333
5,2010-08-10,LIS,MAH,0,10,Menorca,Spain,39.861.401,4.2153,Lisboa,Portugal,38.781.899,-91.333
6,2012-08-09,LIS,PRG,1,3,Ruzyne,Czech Republic,50.099.998,142.667,Lisboa,Portugal,38.781.899,-91.333
7,2013-08-07,LIS,IST,0,3,Istanbul Airport,Turkey,409.767,288.153,Lisboa,Portugal,38.781.899,-91.333
8,2014-07-27,LIS,DXB,0,3,Dubai International,United Arab Emirates,25.25,553.578,Lisboa,Portugal,38.781.899,-91.333
9,2015-08-01,LIS,MAD,0,3,Adolfo Suarez-Barajas,Spain,40.473.598,-35.611,Lisboa,Portugal,38.781.899,-91.333
10,2023-07-21,LIS,MAD,1,2,Adolfo Suarez-Barajas,Spain,40.473.598,-35.611,Lisboa,Portugal,38.781.899,-91.333
11,2016-08-02,LIS,SVO,0,4,Sheremetyevo,Russian Federation,55.983.299,37.416.698,Lisboa,Portugal,38.781.899,-91.333
12,2002-08-09,HER,LIS,0,4,Lisboa,Portugal,38.781.899,-91.333,Nikos Kazantzakis Airport,Greece,35.339.699,251.803
13,2004-08-13,REC,LIS,0,4,Lisboa,Portugal,38.781.899,-91.333,Guararapes International,Brazil,-81.258,-34.923.901
14,2005-08-24,PUJ,LIS,0,9,Lisboa,Portugal,38.781.899,-91.333,Punta Cana International,Dominican Republic,185.667,-68.383.301
15,2006-08-12,MAO,LIS,0,4,Lisboa,Portugal,38.781.899,-91.333,Eduardo Gomes Intl,Brazil,-30.392,-60.049.999
